runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
110.21875,808.5,17.44,21.71,14.98,10.81,14.97,0.74,-0.27,-0.69,9605764.0,11282276.0
128.84375,808.35,18.37,23.02,15.14,28.96,15.9,0.7,-0.14,-0.61,12386174.0,14560792.0
150.21875,809.69,16.31,17.8,15.11,13.29,14.54,0.63,-0.34,-0.53,4354030.0,5122920.0
156.53125,808.01,17.35,19.75,15.35,9.08,14.96,0.42,-0.03,-0.15,7517148.0,8852604.0
148.34375,807.09,19.74,24.47,16.66,13.51,17.85,0.49,0.38,0.22,13065560.0,15389460.0
156.17188,808.39,19.77,23.56,17.16,13.31,17.83,0.52,0.16,-0.0,13417342.0,15806916.0
165.35938,806.24,22.68,25.87,18.6,1.26,17.19,0.91,0.75,0.49,17599274.0,20737048.0
173.21875,808.45,21.49,26.08,16.91,27.43,17.32,0.91,0.11,-0.24,15863382.0,18695256.0
198.59375,811.91,17.59,19.93,15.76,10.51,15.27,0.72,-0.17,-0.67,6852080.0,8076660.0
194.40625,810.66,19.03,22.66,16.51,0.4,14.06,0.52,0.05,-0.2,13285062.0,15662068.0
162.40625,808.95,18.61,22.09,16.82,9.37,16.88,0.54,0.41,0.26,8304426.0,9791908.0
154.71875,806.62,20.13,24.21,17.26,17.21,18.08,0.52,0.4,0.06,13293590.0,15678000.0
167.76562,807.02,17.1,18.67,15.42,11.42,16.09,0.72,-0.38,-0.6,5426592.0,6401540.0
177.46875,805.61,18.52,21.09,15.73,17.02,16.16,0.5,-0.0,-0.45,8530428.0,10064476.0
210.8125,805.62,19.64,23.74,17.43,32.1,18.03,0.45,0.12,-0.27,9544568.0,11263068.0
251.73438,805.27,21.03,25.09,17.72,24.31,18.4,0.64,0.15,-0.23,14582368.0,17210632.0
270.65625,806.08,19.38,21.87,17.58,10.4,17.64,0.62,-0.17,-0.55,8746504.0,10325052.0
270.60938,806.63,20.58,24.73,18.19,14.86,17.94,0.55,0.15,-0.33,14689128.0,17343000.0
266.8125,806.8,20.44,24.52,18.42,11.45,18.93,0.79,0.73,0.2,9730260.0,11490200.0
263.39062,807.31,21.07,24.68,18.47,5.96,17.94,0.94,0.81,0.44,13994300.0,16528344.0
239.10938,807.52,22.84,25.85,19.71,1.33,17.6,0.98,0.82,0.51,15168024.0,17917720.0
202.4375,808.23,23.74,27.31,20.49,1.17,18.17,0.92,0.75,0.51,18181806.0,21482276.0
169.59375,808.69,22.79,26.27,20.22,2.47,18.08,0.79,0.57,0.5,12189954.0,14405288.0
155.57812,809.3,20.35,24.43,17.82,23.66,18.52,0.39,0.01,0.19,10066004.0,11897688.0
175.96875,808.97,19.56,23.18,16.29,8.05,18.15,0.53,0.29,0.18,10135878.0,11982684.0
172.95312,807.75,22.64,25.92,17.64,1.01,17.46,0.79,0.6,0.45,16439834.0,19438212.0
147.10938,807.85,21.38,26.22,17.55,13.36,18.77,0.5,0.3,0.25,12952574.0,15317760.0
152.04688,806.91,20.28,23.64,18.1,19.21,18.89,0.4,0.25,0.04,9148748.0,10821480.0
240.32812,808.6,17.84,19.13,16.04,42.16,16.69,0.52,-0.08,-0.39,2563490.0,3032648.0
278.46875,807.96,18.99,22.16,15.98,15.44,16.19,0.32,0.15,-0.16,9403722.0,11127068.0
281.45312,807.52,20.69,25.45,18.08,23.85,18.94,0.42,0.26,-0.12,13581188.0,16073220.0
303.875,808.75,20.77,25.18,18.11,21.86,19.3,0.43,0.2,-0.26,12893770.0,15262420.0
322.75,809.63,21.2,25.79,17.13,10.85,19.29,0.79,0.65,0.18,16010372.0,18954804.0
317.60938,808.68,22.1,26.28,18.63,7.27,18.82,0.81,0.63,0.45,17539498.0,20769088.0
283.78125,808.09,22.32,26.86,19.36,8.79,18.93,0.75,0.59,0.36,16741068.0,19824802.0
254.98438,809.29,20.64,24.01,18.0,9.69,18.19,0.56,0.02,-0.23,10077264.0,11934162.0
242.89062,810.35,18.79,20.54,16.31,8.61,16.99,0.68,-0.41,-0.5,6993446.0,8282476.0
232.5625,809.67,19.42,23.4,16.85,0.87,15.04,0.5,-0.05,-0.3,16499882.0,19542586.0
204.95312,808.87,20.4,25.05,17.38,12.69,17.53,0.58,0.45,0.24,15613452.0,18493618.0
195.79688,808.05,20.2,24.61,17.12,9.86,18.15,0.5,0.28,-0.03,15191408.0,17994764.0
195.34375,808.2,20.32,24.82,17.49,3.73,17.76,0.63,0.09,-0.48,14267718.0,16901604.0
193.67188,807.54,21.56,25.26,17.15,0.69,16.14,0.54,0.2,-0.25,17845250.0,21140756.0
180.8125,807.35,21.57,25.64,17.9,2.99,16.64,0.59,-0.1,-0.47,18794404.0,22266454.0
175.39062,809.56,19.44,23.85,17.2,14.82,17.53,0.62,-0.12,-0.54,12975606.0,15373524.0
195.98438,811.39,19.41,24.0,15.74,11.3,17.49,0.6,0.36,0.3,13225032.0,15669926.0
205.29688,809.52,21.41,25.42,17.01,18.78,17.55,0.71,0.49,0.45,16342430.0,19364878.0
210.92188,808.86,19.94,24.49,15.41,7.82,17.51,0.72,0.44,0.49,16471616.0,19519146.0
198.03125,807.81,20.39,24.14,16.14,2.26,16.93,0.74,0.45,0.47,18470094.0,21888500.0
171.65625,807.43,21.71,26.27,16.21,0.46,16.83,0.67,0.38,0.46,18811704.0,22294654.0
144.40625,807.91,21.3,26.9,16.38,3.24,17.57,0.6,0.26,0.3,18064310.0,21410176.0
129.8125,810.38,20.24,25.56,16.3,13.21,18.14,0.52,0.26,0.36,15790250.0,18715920.0
135.59375,810.99,19.83,24.38,15.83,12.86,17.92,0.67,0.48,0.33,15680394.0,18586844.0
146.32812,809.83,20.08,25.26,15.36,11.37,17.68,0.7,0.43,0.41,18681064.0,22144806.0
152.67188,810.19,21.26,25.77,16.53,2.1,17.15,0.41,0.11,0.04,19259642.0,22831898.0
142.60938,813.1,20.65,25.22,16.2,1.71,17.06,0.73,-0.24,-0.62,16478982.0,19536564.0
125.015625,812.87,21.51,25.75,17.02,0.51,15.34,0.4,0.12,0.07,19525914.0,23150094.0
