runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
68.21875,786.31,14.04,20.5,-0.02,0.01,1.74,1.38,0.42,1.2,22057710.0,26824166.0
62.78125,781.83,15.88,23.12,9.14,0.05,7.28,1.16,0.34,0.43,21348842.0,24834646.0
60.8125,781.68,12.13,17.39,7.12,16.9,10.24,0.95,0.16,-0.59,13351878.0,15443054.0
75.90625,781.35,16.9,22.77,8.65,0.07,8.91,1.25,0.38,1.04,17545270.0,20287234.0
76.78125,785.87,13.27,21.06,7.77,1.54,9.04,1.26,0.09,-1.04,18827498.0,21771122.0
70.6875,784.99,9.67,14.74,3.89,1.81,7.54,1.5,1.01,-0.86,9135654.0,10566036.0
65.3125,790.91,3.0,4.51,2.02,15.05,2.12,1.09,-0.34,-0.51,6825126.0,8028326.0
69.34375,790.01,9.94,18.59,2.55,0.21,5.8,0.95,0.25,-0.02,20119618.0,24588270.0
68.25,787.38,12.92,20.87,5.7,0.21,8.37,0.97,0.52,-0.23,20759344.0,24277446.0
61.53125,787.01,11.93,20.47,5.92,1.6,8.1,1.3,0.37,-0.57,19222912.0,22285214.0
55.125,785.92,12.18,16.72,6.94,0.29,8.03,0.64,0.27,0.26,12885598.0,14927698.0
49.375,781.45,13.97,21.4,8.69,0.44,9.37,1.37,0.75,-0.11,15772606.0,18269208.0
44.40625,780.93,14.39,20.07,9.2,2.27,10.14,1.36,0.61,-0.27,11292632.0,13082028.0
42.71875,787.92,7.19,10.84,3.02,7.74,6.33,1.53,-0.3,-1.49,4754786.0,5511798.0
48.90625,793.77,2.89,4.66,0.47,15.25,1.96,1.35,-0.59,-1.18,4309948.0,5447732.0
61.46875,790.2,5.71,8.06,2.02,2.06,3.43,0.45,0.07,0.18,5526328.0,11747020.0
